name,action
Kebu,add to polygon_group_registry.xlsx aliases
Kinga,add to polygon_group_registry.xlsx aliases
Kipsigis,add to polygon_group_registry.xlsx aliases
Kokobiri,add to polygon_group_registry.xlsx aliases
Komono,add to polygon_group_registry.xlsx aliases
Kona,add to polygon_group_registry.xlsx aliases
Konate,add to polygon_group_registry.xlsx aliases
Korabou,add to polygon_group_registry.xlsx aliases
Kotokoli,add to polygon_group_registry.xlsx aliases
Koyaka,add to polygon_group_registry.xlsx aliases
Kroumen,add to polygon_group_registry.xlsx aliases
Kugni,add to polygon_group_registry.xlsx aliases
Kurdi,add to polygon_group_registry.xlsx aliases
Kurumba,add to polygon_group_registry.xlsx aliases
Kusaal,add to polygon_group_registry.xlsx aliases
Kutu,add to polygon_group_registry.xlsx aliases
Kwa,add to polygon_group_registry.xlsx aliases
Kwere,add to polygon_group_registry.xlsx aliases
LALA,add to polygon_group_registry.xlsx aliases
LAMBYA,add to polygon_group_registry.xlsx aliases
LUAPULA,add to polygon_group_registry.xlsx aliases
LUNGU,add to polygon_group_registry.xlsx aliases
Lala,add to polygon_group_registry.xlsx aliases
Langulu,add to polygon_group_registry.xlsx aliases
Laye,add to polygon_group_registry.xlsx aliases
Leya,add to polygon_group_registry.xlsx aliases
LibyanBedouin,add to polygon_group_registry.xlsx aliases
Lorhon,add to polygon_group_registry.xlsx aliases
Lounssé,add to polygon_group_registry.xlsx aliases
Lower Ogol,add to polygon_group_registry.xlsx aliases
Lumbu,add to polygon_group_registry.xlsx aliases
MAGUZAWA,add to polygon_group_registry.xlsx aliases
MAKONDE,add to polygon_group_registry.xlsx aliases
MAMPRUSI,add to polygon_group_registry.xlsx aliases
MANGA,add to polygon_group_registry.xlsx aliases
MARGI,add to polygon_group_registry.xlsx aliases
MBUKUSHU,add to polygon_group_registry.xlsx aliases
MBUM,add to polygon_group_registry.xlsx aliases
MERU,add to polygon_group_registry.xlsx aliases
MUMUYE,add to polygon_group_registry.xlsx aliases
MUNDANG,add to polygon_group_registry.xlsx aliases
MWERA,add to polygon_group_registry.xlsx aliases
Madonda,add to polygon_group_registry.xlsx aliases
Mahouka,add to polygon_group_registry.xlsx aliases
Makonde,add to polygon_group_registry.xlsx aliases
Mambwe,add to polygon_group_registry.xlsx aliases
Mamprusi,add to polygon_group_registry.xlsx aliases
Mandé,add to polygon_group_registry.xlsx aliases
Maranse,add to polygon_group_registry.xlsx aliases
Masaai,add to polygon_group_registry.xlsx aliases
Maures,add to polygon_group_registry.xlsx aliases
Mawia,add to polygon_group_registry.xlsx aliases
Mbatto,add to polygon_group_registry.xlsx aliases
Mbugwe,add to polygon_group_registry.xlsx aliases
Mbum,add to polygon_group_registry.xlsx aliases
Mbuti,add to polygon_group_registry.xlsx aliases
MbutiTurnbull294KS,add to polygon_group_registry.xlsx aliases
Mianka,add to polygon_group_registry.xlsx aliases
Moali,add to polygon_group_registry.xlsx aliases
Moimbou,add to polygon_group_registry.xlsx aliases
Monga,add to polygon_group_registry.xlsx aliases
Munga Leelau,add to polygon_group_registry.xlsx aliases
Mwera,add to polygon_group_registry.xlsx aliases
NGINDO,add to polygon_group_registry.xlsx aliases
NGURU,add to polygon_group_registry.xlsx aliases
NYANGIYA,add to polygon_group_registry.xlsx aliases
NYASA,add to polygon_group_registry.xlsx aliases
Nadié,add to polygon_group_registry.xlsx aliases
Nago,add to polygon_group_registry.xlsx aliases
Namoano,add to polygon_group_registry.xlsx aliases
Nankana,add to polygon_group_registry.xlsx aliases
Nankwila,add to polygon_group_registry.xlsx aliases
Nassiou,add to polygon_group_registry.xlsx aliases
Natia,add to polygon_group_registry.xlsx aliases
Nayiile,add to polygon_group_registry.xlsx aliases
Neyo,add to polygon_group_registry.xlsx aliases
Ngindo,add to polygon_group_registry.xlsx aliases
Ngoni,add to polygon_group_registry.xlsx aliases
Nguru,add to polygon_group_registry.xlsx aliases
Niabou,add to polygon_group_registry.xlsx aliases
Ninisi,add to polygon_group_registry.xlsx aliases
No intertribal utani,add to polygon_group_registry.xlsx aliases
Nyika,add to polygon_group_registry.xlsx aliases
Nyiramba,add to polygon_group_registry.xlsx aliases
Nyuo,add to polygon_group_registry.xlsx aliases
Nzema,add to polygon_group_registry.xlsx aliases
Nzimas,add to polygon_group_registry.xlsx aliases
Okiek,add to polygon_group_registry.xlsx aliases
Orthodox Amhara women,add to polygon_group_registry.xlsx aliases
Ouattara,add to polygon_group_registry.xlsx aliases
Own ethnicity,add to polygon_group_registry.xlsx aliases
PARE,add to polygon_group_registry.xlsx aliases
POPO,add to polygon_group_registry.xlsx aliases
Pare,add to polygon_group_registry.xlsx aliases
Pholma,add to polygon_group_registry.xlsx aliases
Po,add to polygon_group_registry.xlsx aliases
Potential kinship,add to polygon_group_registry.xlsx aliases
Potentially,add to polygon_group_registry.xlsx aliases
Potola,add to polygon_group_registry.xlsx aliases
Poéssé,add to polygon_group_registry.xlsx aliases
Puguli,add to polygon_group_registry.xlsx aliases
Punu,add to polygon_group_registry.xlsx aliases
Pèlè,add to polygon_group_registry.xlsx aliases
REGA,add to polygon_group_registry.xlsx aliases
Rabola,add to polygon_group_registry.xlsx aliases
Riffians,add to polygon_group_registry.xlsx aliases
Rindi of Moshi,add to polygon_group_registry.xlsx aliases
Rissiyam,add to polygon_group_registry.xlsx aliases
Rufiji,add to polygon_group_registry.xlsx aliases
Rwandans,add to polygon_group_registry.xlsx aliases
SAGARA,add to polygon_group_registry.xlsx aliases
SAN,add to polygon_group_registry.xlsx aliases
SANGU,add to polygon_group_registry.xlsx aliases
SEGEJU,add to polygon_group_registry.xlsx aliases
SHAMBALA,add to polygon_group_registry.xlsx aliases
SHASHI,add to polygon_group_registry.xlsx aliases
SOTHO,add to polygon_group_registry.xlsx aliases
Saaba,add to polygon_group_registry.xlsx aliases
Saanba,add to polygon_group_registry.xlsx aliases
Sabe,add to polygon_group_registry.xlsx aliases
Sagara,add to polygon_group_registry.xlsx aliases
Sala,add to polygon_group_registry.xlsx aliases
Sambla,add to polygon_group_registry.xlsx aliases
Sana,add to polygon_group_registry.xlsx aliases
Sanga,add to polygon_group_registry.xlsx aliases
Sangu,add to polygon_group_registry.xlsx aliases
Saponé,add to polygon_group_registry.xlsx aliases
Sekkeebè,add to polygon_group_registry.xlsx aliases
Sembla,add to polygon_group_registry.xlsx aliases
Senhajans,add to polygon_group_registry.xlsx aliases
Senikèlè,add to polygon_group_registry.xlsx aliases
Serers,add to polygon_group_registry.xlsx aliases
Shabe,add to polygon_group_registry.xlsx aliases
Siamou,add to polygon_group_registry.xlsx aliases
Sie,add to polygon_group_registry.xlsx aliases
Sienou,add to polygon_group_registry.xlsx aliases
Silmi-Mossi,add to polygon_group_registry.xlsx aliases
Sina of Kibosho,add to polygon_group_registry.xlsx aliases
Sinafwala,add to polygon_group_registry.xlsx aliases
Sisala,add to polygon_group_registry.xlsx aliases
Soli,add to polygon_group_registry.xlsx aliases
Sombie,add to polygon_group_registry.xlsx aliases
Soninké,add to polygon_group_registry.xlsx aliases
Swahili,add to polygon_group_registry.xlsx aliases
Swaka,add to polygon_group_registry.xlsx aliases
Sèmè,add to polygon_group_registry.xlsx aliases
TANGALE,add to polygon_group_registry.xlsx aliases
TANNEKWE,add to polygon_group_registry.xlsx aliases
TEM,add to polygon_group_registry.xlsx aliases
Tagbana,add to polygon_group_registry.xlsx aliases
Tambongou,add to polygon_group_registry.xlsx aliases
Tambouriniers,add to polygon_group_registry.xlsx aliases
Tangara,add to polygon_group_registry.xlsx aliases
Tansoaba,add to polygon_group_registry.xlsx aliases
Tantiegou,add to polygon_group_registry.xlsx aliases
Tarok,add to polygon_group_registry.xlsx aliases
Tem,add to polygon_group_registry.xlsx aliases
Tensobendamba,add to polygon_group_registry.xlsx aliases
Tessian,add to polygon_group_registry.xlsx aliases
Thouni,add to polygon_group_registry.xlsx aliases
Tiefo,add to polygon_group_registry.xlsx aliases
Tiere,add to polygon_group_registry.xlsx aliases
Tigania,add to polygon_group_registry.xlsx aliases
Tindamba,add to polygon_group_registry.xlsx aliases
Tiwa,add to polygon_group_registry.xlsx aliases
Tiébélé,add to polygon_group_registry.xlsx aliases
Tomba,add to polygon_group_registry.xlsx aliases
Tongo,add to polygon_group_registry.xlsx aliases
Tsobo,add to polygon_group_registry.xlsx aliases
T□nzugu,add to polygon_group_registry.xlsx aliases
UNGA,add to polygon_group_registry.xlsx aliases
Upper Ogol,add to polygon_group_registry.xlsx aliases
VILI,add to polygon_group_registry.xlsx aliases
Vidunda,add to polygon_group_registry.xlsx aliases
Viguié,add to polygon_group_registry.xlsx aliases
Vili,add to polygon_group_registry.xlsx aliases
Vingu,add to polygon_group_registry.xlsx aliases
Vumba,add to polygon_group_registry.xlsx aliases
WUTE,add to polygon_group_registry.xlsx aliases
Waja,add to polygon_group_registry.xlsx aliases
Wala,add to polygon_group_registry.xlsx aliases
Wanzam,add to polygon_group_registry.xlsx aliases
Waygallo,add to polygon_group_registry.xlsx aliases
Wemba,add to polygon_group_registry.xlsx aliases
Western Lunda,add to polygon_group_registry.xlsx aliases
WoDaaBe,add to polygon_group_registry.xlsx aliases
Wodaabe,add to polygon_group_registry.xlsx aliases
Woussè,add to polygon_group_registry.xlsx aliases
Woɗaaɓe,add to polygon_group_registry.xlsx aliases
Wute,add to polygon_group_registry.xlsx aliases
YOMBE,add to polygon_group_registry.xlsx aliases
Yacouba,add to polygon_group_registry.xlsx aliases
Yalma,add to polygon_group_registry.xlsx aliases
Yana,add to polygon_group_registry.xlsx aliases
Yaoni,add to polygon_group_registry.xlsx aliases
Yarse,add to polygon_group_registry.xlsx aliases
Yawo,add to polygon_group_registry.xlsx aliases
Yendoumman,add to polygon_group_registry.xlsx aliases
Yile,add to polygon_group_registry.xlsx aliases
Yombe,add to polygon_group_registry.xlsx aliases
Yorùbá,add to polygon_group_registry.xlsx aliases
Youmba,add to polygon_group_registry.xlsx aliases
ZANAKI,add to polygon_group_registry.xlsx aliases
Zamfara,add to polygon_group_registry.xlsx aliases
Zanaki,add to polygon_group_registry.xlsx aliases
Zangweto,add to polygon_group_registry.xlsx aliases
Zaose,add to polygon_group_registry.xlsx aliases
Zaramu,add to polygon_group_registry.xlsx aliases
Zaramu.,add to polygon_group_registry.xlsx aliases
Zigua,add to polygon_group_registry.xlsx aliases
Zoaga,add to polygon_group_registry.xlsx aliases
Zon,add to polygon_group_registry.xlsx aliases
Zorgho,add to polygon_group_registry.xlsx aliases
and Luguru.,add to polygon_group_registry.xlsx aliases
and Pangwa,add to polygon_group_registry.xlsx aliases
and Zaramu,add to polygon_group_registry.xlsx aliases
blacksmiths,add to polygon_group_registry.xlsx aliases
certain villages,add to polygon_group_registry.xlsx aliases
dillalai-mahautaa,add to polygon_group_registry.xlsx aliases
esimbore singers,add to polygon_group_registry.xlsx aliases
foreign teachers,add to polygon_group_registry.xlsx aliases
habitants de saponé,add to polygon_group_registry.xlsx aliases
habitants du village de sankoinsé,add to polygon_group_registry.xlsx aliases
khoi,add to polygon_group_registry.xlsx aliases
little boys,add to polygon_group_registry.xlsx aliases
maybe joking among family,add to polygon_group_registry.xlsx aliases
neighboring African village farmers,add to polygon_group_registry.xlsx aliases
older Bedouin women,add to polygon_group_registry.xlsx aliases
other certain villages,add to polygon_group_registry.xlsx aliases
ovimbundu,add to polygon_group_registry.xlsx aliases
pastoralists and blacksmiths,add to polygon_group_registry.xlsx aliases
people of different dialect groups,add to polygon_group_registry.xlsx aliases
ressortissants de boinboinla,add to polygon_group_registry.xlsx aliases
ressortissants de koupela,add to polygon_group_registry.xlsx aliases
ressortissants de ramsa,add to polygon_group_registry.xlsx aliases
san,add to polygon_group_registry.xlsx aliases
sarakolle,add to polygon_group_registry.xlsx aliases
shona,add to polygon_group_registry.xlsx aliases
slaves they acquired during the period of jihad,add to polygon_group_registry.xlsx aliases
sud-ouest,add to polygon_group_registry.xlsx aliases
their employers,add to polygon_group_registry.xlsx aliases
within family,add to polygon_group_registry.xlsx aliases
